id,question_text,options,correct_answer,category
1,"Diện tích trung bình của da người tiếp xúc với môi trường là bao nhiêu?","A. 1,2 m²|B. 1,8 m²|C. 2,5 m²|D. 3,0 m²","B","Nguồn gốc"
2,"Da được xem là gì trong mối quan hệ với vi sinh vật?","A. Hệ sinh thái|B. Hàng rào đơn giản|C. Cơ quan nội tạng|D. Môi trường vô trùng","A","Nguồn gốc"
3,"Vi sinh vật nào sau đây không thuộc nhóm thường gặp trên da?","A. Vi khuẩn|B. Nấm|C. Virus|D. Protozoa","D","Nguồn gốc"
4,"Vi sinh vật cộng sinh trên da có vai trò gì với tế bào T?","A. Tiêu diệt|B. Huấn luyện|C. Ức chế|D. Không ảnh hưởng","B","Vai trò vi sinh vật"
5,"Sự gián đoạn cân bằng vi sinh vật trên da có thể dẫn đến điều gì?","A. Tăng cường bảo vệ|B. Rối loạn da|C. Cải thiện miễn dịch|D. Giảm tiết mồ hôi","B","Vai trò vi sinh vật"
6,"Yếu tố nào sau đây là ngoại sinh ảnh hưởng đến vi sinh vật da?","A. Biến thể di truyền|B. Rửa tay|C. Tuổi tác|D. Giới tính","B","Yếu tố ảnh hưởng"
7,"Đặc điểm nào của da giúp vi sinh vật thích nghi?","A. Nhiệt độ cao|B. Tính axit|C. Độ pH kiềm|D. Khô hoàn toàn","B","Yếu tố ảnh hưởng"
8,"Lớp thương bì của da có vai trò gì?","A. Hàng rào vật lý|B. Tiết mồ hôi|C. Sản xuất bã nhờn|D. Tự làm mới liên tục","A","Nguồn gốc"
9,"Thời gian trung bình để tế bào sừng bong ra khỏi bề mặt da là bao lâu?","A. 2 tuần|B. 4 tuần|C. 6 tuần|D. 8 tuần","B","Nguồn gốc"
10,"Tuyến mồ hôi có vai trò chính là gì?","A. Tiết bã nhờn|B. Điều hòa nhiệt|C. Bảo vệ da|D. Tăng độ pH","B","Yếu tố ảnh hưởng"
11,"Vi khuẩn nào được ưa chuộng trong môi trường pH axit của da?","A. Staphylococcus aureus|B. Streptococcus pyogenes|C. Corynebacteria|D. E. coli","C","Vai trò vi sinh vật"
12,"Che kín da dẫn đến điều gì?","A. Giảm pH|B. Tăng pH|C. Giảm vi khuẩn|D. Tăng tiết mồ hôi","B","Yếu tố ảnh hưởng"
13,"Loại vi khuẩn nào phổ biến hơn trên da người so với động vật có vú khác?","A. Staphylococcus aureus|B. Propionibacterium acnes|C. Streptococcus|D. E. coli","B","Nguồn gốc"
14,"Vùng da nào có mật độ cao tuyến bã nhờn?","A. Cánh tay|B. Mặt|C. Chân|D. Bụng","B","Yếu tố ảnh hưởng"
15,"Vi sinh vật ưa mỡ phát triển mạnh ở đâu?","A. Cánh tay|B. Mặt|C. Chân|D. Tay","B","Yếu tố ảnh hưởng"
16,"Da của thai nhi trong tử cung có đặc điểm gì?","A. Đầy vi khuẩn|B. Vô trùng|C. Nhiễm nấm|D. Có virus","B","Nguồn gốc"
17,"Yếu tố nào sau đây không ảnh hưởng đến thảm vi sinh vật da?","A. Tuổi tác|B. Giới tính|C. Kháng sinh|D. Nhiệt độ cơ thể","D","Yếu tố ảnh hưởng"
18,"Sự xâm nhập vi khuẩn trên da trẻ sơ sinh xảy ra khi nào?","A. Trong tử cung|B. Sau khi sinh|C. Sau 1 tháng|D. Sau 1 năm","B","Nguồn gốc"
19,"Ở tuổi dậy thì, vi khuẩn nào tăng trên da?","A. Staphylococcus aureus|B. Propionibacterium acnes|C. E. coli|D. Candida","B","Yếu tố ảnh hưởng"
20,"Yếu tố môi trường nào làm tăng vi khuẩn ở lưng và chân?","A. Độ ẩm thấp|B. Nhiệt độ thấp|C. Độ ẩm cao|D. Ánh sáng UV","C","Yếu tố ảnh hưởng"
21,"Ánh sáng cực tím (UV) có tác dụng gì với vi sinh vật da?","A. Tăng sinh|B. Diệt khuẩn|C. Không ảnh hưởng|D. Kích thích nấm","B","Yếu tố ảnh hưởng"
22,"Phương pháp nào cho thấy sự đa dạng vi khuẩn da lớn hơn nuôi cấy?","A. Phân tích gen 16S|B. Nuôi cấy định lượng|C. Quan sát trực tiếp|D. Kiểm tra pH","A","Nguồn gốc"
23,"Ngành vi khuẩn nào chiếm ưu thế trên da?","A. Firmicutes|B. Actinobacteria|C. Bacteroidetes|D. Proteobacteria","B","Nguồn gốc"
24,"Vi khuẩn da khác với vi khuẩn đường tiêu hóa ở điểm nào?","A. Ngành ít đa dạng|B. Tỷ lệ ngành khác nhau|C. Loài ít đa dạng|D. Không có nấm","B","Nguồn gốc"
25,"Vùng da nào có sự đa dạng vi khuẩn thấp nhất?","A. Da nhờn|B. Da khô|C. Da ẩm|D. Da che kín","A","Yếu tố ảnh hưởng"
26,"Vi khuẩn nào chiếm ưu thế ở vùng da nhờn?","A. Staphylococcus aureus|B. Propionibacterium spp.|C. Streptococcus|D. E. coli","B","Yếu tố ảnh hưởng"
27,"Vùng da nào có sự ổn định vi khuẩn cao nhất theo thời gian?","A. Cánh tay|B. Cánh mũi|C. Mặt|D. Chân","B","Yếu tố ảnh hưởng"
28,"Hệ vi sinh vật da thay đổi theo thời gian lớn hơn so với đâu?","A. Ruột|B. Miệng|C. Cả hai|D. Không thay đổi","C","Yếu tố ảnh hưởng"
29,"Vi nấm nào phổ biến nhất trên da người khỏe mạnh?","A. Candida spp.|B. Malassezia spp.|C. Aspergillus|D. Trichophyton","B","Nguồn gốc"
30,"Mạt Demodex thường cư trú ở đâu?","A. Tuyến mồ hôi|B. Nang lông|C. Lớp sừng|D. Lớp mỡ","B","Nguồn gốc"
31,"Bệnh viêm da tiết bã liên quan đến vi sinh vật nào?","A. Staphylococcus aureus|B. Malassezia spp.|C. Propionibacterium|D. Candida","B","Bệnh da"
32,"Viêm da tiết bã cải thiện khi nào?","A. Tăng Malassezia|B. Giảm Malassezia|C. Tăng pH|D. Giảm tiết mồ hôi","B","Bệnh da"
33,"Vi khuẩn nào liên quan đến mụn trứng cá ở tuổi dậy thì?","A. Staphylococcus aureus|B. Propionibacterium acnes|C. E. coli|D. Streptococcus","B","Bệnh da"
34,"Propionibacterium acnes gây viêm nang lông bằng cách nào?","A. Tiết men lipase|B. Tăng pH|C. Giảm bã nhờn|D. Ức chế miễn dịch","A","Bệnh da"
35,"Viêm da cơ địa có tỷ lệ nhiễm S. aureus cao nhất ở mức nào?","A. 50%|B. 70%|C. 90%|D. 100%","C","Bệnh da"
36,"S. aureus xuất hiện ở da khỏe mạnh với tỷ lệ bao nhiêu?","A. 5%|B. 10%|C. 20%|D. 30%","A","Bệnh da"
37,"Yếu tố nào không góp phần vào viêm da tiết bã?","A. Malassezia spp.|B. Độ ẩm thấp|C. Yếu tố khác|D. Tăng bã nhờn","B","Bệnh da"
38,"Vùng da nào ít vi sinh vật nhất?","A. Mặt|B. Cánh tay|C. Nách|D. Lưng","B","Yếu tố ảnh hưởng"
39,"Vi khuẩn gram âm trên da thường đến từ đâu?","A. Môi trường|B. Ruột|C. Không khí|D. Nước","B","Nguồn gốc"
40,"Candida spp. gây nhiễm trùng da khi nào?","A. Da khỏe mạnh|B. Suy giảm miễn dịch|C. Độ ẩm thấp|D. Tăng pH","B","Bệnh da"
41,"Mụn trứng cá liên quan đến sự gia tăng của yếu tố nào?","A. Tuyến mồ hôi|B. Nang lông trưởng thành|C. Độ pH thấp|D. Vi nấm","B","Bệnh da"
42,"Yếu tố nào không phải là nội sinh ảnh hưởng đến vi sinh vật da?","A. Di truyền|B. Tuổi tác|C. Rửa tay|D. Giới tính","C","Yếu tố ảnh hưởng"
43,"Vi sinh vật nào bị ức chế bởi độ pH axit của da?","A. Corynebacteria|B. Staphylococcus aureus|C. Propionibacterium|D. Malassezia","B","Vai trò vi sinh vật"
44,"Vùng da nào có vi khuẩn thay đổi nhiều nhất theo thời gian?","A. Cánh mũi|B. Nếp khuỷu|C. Mặt|D. Nách","B","Yếu tố ảnh hưởng"
45,"Sự khác biệt vi khuẩn giữa nam và nữ do đâu?","A. Di truyền|B. Hormone|C. Tuổi tác|D. Độ ẩm","B","Yếu tố ảnh hưởng"
